school,学校
pay,支払う
paint,描く，(～に)ペンキを塗る
lend,貸す
kill,殺す
close,閉じる
start,出発する，～を始める
pick,選ぶ，摘む
turn,曲がる，回る，変化する
invite,招待する
build,建てる
practice,練習する
jump,跳ぶ
dry,乾く
mean,意味する
add,加える
pass,過ぎる，合格する，手渡す
test,試みる
carry,運ぶ
lose,失う，負ける
cut,切る
borrow,借りる
shop,買い物をする
advise,忠告する，助言する
skate,スケートをする
bring,持って来る
spend,費やす，過ごす
finish,終える
set,置く
change,変わる
shine,光る，輝く
rain,雨が降る
become,～になる
clever,利口な
angry,怒って
dear,親愛なる
strange,奇妙な
last,この前の，最後の
other,ほかの
absent,欠席の
ready,用意できている
right,正しい，右に
full,いっぱいの
weak,弱い
brown,茶色の
special,特別の
rainy,雨降りの
such,そのような
past,過去の
quiet,静かな
loud,(声の)大きい
free,自由な，ひまな
wonderful,すばらしい
useful,役に立つ
light,薄い(軽い)
difficult,むずかしい
popular,人気のある
human,人間の
welcome,ようこそ
own,自分の
bright,明るい
deep,深い
different,違った
same,同じ
low,低い
main,主な
interesting,おもしろい
tired,疲れて
foolish,愚かな
well,健康な
usual,通常の
afraid,恐れて
each,おのおのの
lucky,好運な
few,(aをつけ)少数の
cloudy,曇った
sure,確信して
enough,十分な
American,アメリカの
wide,幅が広い
important,重要な
great,すばらしい，広大な
yellow,黄色の
zoo,動物園
elephant,象
fox,キツネ
frog,カエル
snake,蛇
gym,体育館、ジム
tower,塔、タワー
theater,劇場
play,劇、(～する)
palace,宮殿
entrance,入り口
statue,銅像
host,ホスト、主人
dad,お父さん
soup,スープ
suit,スーツ
tie,ネクタイ
jeans,ジーンズ
mom,お母さん
husband,夫
stranger,見知らぬ人
driver,運転手
enemy,敵
scientist,科学者
runner,ランナー
artist,芸術家
visitor,訪問者
cousin,いとこ
engineer,エンジニア
crowd,群衆
guide,案内人
queen,女王
prince,王子
pal,友だち
captain,船長、キャプテン
neighbor,隣人
policeman,警官
president,大統領
merchant,商人
painter,画家
reporter,レポーター
God,神
army,陸軍
bomb,爆弾
arrow,矢
jam,ジャム
juice,ジュース
honey,蜂蜜
ticket,切符、チケット
fence,塀
bathroom,浴室
hall,玄関の広間，ろうか
forest,森林
toy,おもちゃ
umbrella,かさ
bottle,びん
ink,インク
sofa,ソファー
desert,砂漠
beach,砂浜、ビーチ
tent,テント
restaurant,レストラン
sunset,日没
trade,貿易
match,試合、合う
death,死
blood,血
luck,運
habit,習慣、くせ
joy,喜び
fishing,魚釣り
barber,床屋
century,世紀
goal,得点，ゴール
training,トレーニング
disease,病気
tour,小旅行
exam,試験
flight,飛行、フライト
film,映画、フィルム
mind,精神、心
pain,痛み
midnight,真夜中
tear,涙
concert,コンサート
action,行動
festival,祭り
pop,ポピュラー音楽
thought,考え、(考えた)
promise,約束
accident,事故
custom,習慣
waste,ごみ、浪費
use,使用、(使う)
reply,返事、(返す)
race,競走，人種
stay,滞在
valley,谷
silver,銀
heaven,天国
ocean,海
soil,土、土壌
billion,10億
couple,カップル
area,地域
calendar,カレンダー
signal,信号
discussion,討論
sign,合図、標識
volleyball,バレーボール
answer,答え
stop,停留所
courage,勇気
iron,鉄
universe,宇宙
silk,絹
wave,波
root,根
smoke,煙
course,進路
shade,影
prize,賞
list,リスト、表
page,ページ
report,報告
step,足元，階段
secret,秘密
quiz,クイズ
care,世話，管理
rush,急ぎ
plant,植物
gas,ガス
climate,気候
jewel,宝石
rainbow,虹
weather,天気
model,模型、モデル
point,点
railway,鉄道
mark,印
bowl,"ボール,鉢"
lip,くちびる
net,網、ネット
melon,メロン
wine,ワイン
grape,ブドウ
branch,枝
taxi,タクシー
brush,筆
poem,詩
menu,メニュー
gram,グラム
cent,セント
address,住所
damage,被害
sort,種類
reason,理由，原因
kilometer,キロメートル
middle,中央
shock,ショック
centimeter,センチメートル
zone,地帯
toast,トースト
curtain,カーテン
goods,商品
sense,センス
type,型
symbol,象徴
energy,エネルギー
position,位置，地位
gray,灰色
bit,少し
matter,問題，困ったこと
power,力
sentence,文
yen,円
grade,評点，等級
plate,皿
cheese,チーズ
can,カン
treasure,宝物
hole,穴
price,価格
problem,問題
fact,事実
beauty,美
pair,一組
percent,パーセント
case,場合，容器
spelling,綴り
meaning,意味
square,正方形
youth,若さ
Europe,ヨーロッパ
London,ロンドン
England,イングランド
Canada,カナダ
Asia,アジア
Australia,オーストラリア
China,中国
order,注文する
wonder,(不思議に)思う
smell,においがする
kiss,キスをする
cross,横切る
select,選ぶ
awake,目が覚める
fill,いっぱいにする
print,印刷する
succeed,成功する
receive,受け取る
date,デートする
raise,(手などを)あげる
exercise,練習する
return,帰る
destroy,破壊する
belong,所属する
realize,理解する
sound,(～のように)聞こえる
invent,発明する
solve,解決する
hurt,傷つける
knock,ノックする
touch,触れる
miss,間違う，寂しく思う
reach,着く，届く
hand,手渡す
choose,選ぶ
share,分け合う
copy,模写する
boil,ゆでる，煮る
train,訓練する
cover,おおう
break,壊れる，破る
please,気に入る，喜ばせる
explain,説明する
bake,オーブンで焼く
discuss,話し合う
lie,"うそをつく,横たわる"
shake,震える
save,救う，節約する
hit,打つ
mix,混ぜる
blow,吹く
shoot,撃つ
fight,戦う
introduce,紹介する
row,こぐ
drop,落とす
marry,お嫁にする（婿にする）
interested (in),興味のある
ashamed,恥じて
blind,目の見えない
gentle,やさしい
pleased,喜んで
monthly,月に1度、毎月の
open,開いている
flat,平らな
musical,音楽の
noisy,騒がしい
holy,神聖な
lonely,淋しい，ひとりの
merry,陽気な
living,生きている
personal,個人の
necessary,必要な
wild,荒々しい，野生の
outside,外側の
fresh,新鮮な
healthy,健康な
lovely,美しい
dumb,口のきけない
modern,現代的な
peaceful,平和な
raw,生の
international,国際的な
back,裏の，後ろの
natural,自然の
lost,道に迷った
quick,速い
unhappy,不幸な
lazy,怠け者の
brave,勇敢な
pale,青ざめた
simple,簡単な，質素な
daily,毎日の
exciting,興奮させる
senior,年上の，上級の
safe,安全な
national,国家の，国民の
Chinese,中国の，中国人の
another,ほかの，もうひとつの
excited,興奮した
fat,太った
funny,おかしな
cute,可愛い
sleepy,眠い
delicious,おいしい
calm,落ちついた
tiny,小さな
final,最後の
central,中心の
wet,濡れている
common,共通の
silent,静かな
close,接近した
real,ほんとうの
certain,ある
wrong,間違った
weekly,週刊
snowy,雪の降る
whole,すべての
crazy,気の狂った
fond,好きで
friendly,好意的な
tonight,今夜(は)
ever,今まで
once,かつて，１度
finally,ついに
straight,まっすぐに
everywhere,どこでも
down,下に
pretty,かわいい、かなり
besides,その上
maybe,おそらく
surely,確かに
certainly,確かに
easily,かんたんに
neither,～も～も(ない)
alone,ひとりきりで
hard,いっしょうけんめい
forever,永久に
suddenly,突然
especially,特に
quickly,すばやく
long,長く
away,離れて
abroad,外国へ
ahead,前方に
all,まったく
almost,ほとんど
indeed,実に
else,そのほかに
anyway,ともかく
either,(もまた)～でない
gently,やさしく
probably,多分
happily,幸せに，楽しく
then,それから，そのとき，
twice,２回
still,まだ
recently,最近
off,離れて
across,横に渡す，横切って
round,まわりに(を)
just,ちょうど，ただ単に
quite,まったく
perhaps,多分
even,～さえ
quietly,静かに
fine,うまく
carefully,注意深く
never,１度も～ない
than,よりも
while,～する間
but,しかし
when,～するとき
during,～の間，～を通じて
because,なぜなら
and,～と
however,しかし
after,～の後で
if,もし～ならば
although,であるけれど
though,だけれども
or,それとも
between,～と～の間
first,1番目の
second,2番目の
third,3番目の
forth,4番目の
fifth,5番目の
sixth,6番目の
seventh,7番目の
eighth,8番目の
ninth,9番目の
tenth,10番目の
eleventh,11番目の
twelfth,12番目の
thirteenth,13番目の
fourteenth,14番目の
fifteenth,15番目の
sixteenth,16番目の
seventeenth,17番目の
eighteenth,18番目の
nineteenth,19番目の
twentieth,20番目の
thirtieth,30番目の
